"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"105",15,"México",58,"Nezahualcóyotl",0.979245024327159,0.977904377990759,0.730401167518911,0.745204622011382,0.993001702288632,0.991656287583286,0.993608387964784,0.997455488899436,0.997376976635464,0.779252063623484,0.900250168622931,14018.2583202057
"106",15,"México",70,"La Paz",0.972115019011407,0.975631360352735,0.671672195753471,0.745349120864686,0.976770901513431,0.986735770674432,0.878685064718219,0.993281060069727,0.991130464982702,0.660927293856778,0.812737934627252,9144.59427588341
"107",15,"México",81,"Tecámac",0.986038944660243,0.982908794113706,0.810260787102892,0.761800222231489,0.994050873599425,0.993903981589535,0.992320812149601,0.998808542586442,0.998865667256955,0.822750308065187,0.922424697443263,17922.5823791551
"108",15,"México",99,"Texcoco",0.983100495718792,0.993399428848537,0.764061020978713,0.75875090066449,0.990669593852909,0.968973978175244,0.954510234390134,0.987521792471105,0.990798734422419,0.728288241751146,0.870375153354426,8699.01117787709
"109",15,"México",104,"Tlalnepantla de Baz",0.978492685169327,0.981671690874212,0.745369901831798,0.803235754585104,0.996036901632575,0.992572337875538,0.998297932340293,0.998665538669164,0.996636150305667,0.81520480204651,0.925587414770724,13734.6480298403
"110",15,"México",106,"Toluca",0.965396037361219,0.98113352090704,0.736527817095811,0.839476325780067,0.984090513808665,0.960230861473962,0.960052360334301,0.975430920058951,0.997464368426352,0.64173448184323,0.802060543925011,12389.3019390987
"111",15,"México",109,"Tultitlán",0.98413470552169,0.980849546704696,0.761857995883865,0.770992128536082,0.992799507906068,0.989391033759091,0.994847487064443,0.997677027173716,0.99837174801896,0.815660165719868,0.925715526287224,9634.0633892419
"112",15,"México",118,"Zinacantepec",0.9555185591585,0.969633507853403,0.657382290987892,0.845759141354109,0.966664406626438,0.937329084457703,0.965330982891496,0.974890953058964,0.994575903451081,0.528600809094402,0.684227179243791,7605.22508222073
"113",15,"México",120,"Zumpango",0.972937629408987,0.977857851584939,0.712332467077408,0.777042555317472,0.990429286383666,0.978266504496242,0.969772496161745,0.992742208840947,0.995593483939146,0.687795346240504,0.844735110561681,7452.46465051212
"114",15,"México",121,"Cuautitlán Izcalli",0.989076932462937,0.981097225497131,0.804107997902382,0.767948987939511,0.997057914746699,0.988842914142161,0.978646372099897,0.997783360425595,0.996325751978183,0.865765681045716,0.950770450179346,17107.7873335143
